ts,coin,label,book_time_ms,best_bid_before,best_bid_after,best_ask_before,best_ask_after,bid_top_depth_delta,ask_top_depth_delta,bid_top_notional_delta,ask_top_notional_delta,mid_move,spread_before,spread_after,is_impulse
2026-06-30T21:00:15.915945+00:00,#6740,France,1782853215514,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:15.916027+00:00,#6741,Sweden,1782853215514,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:16.566438+00:00,#1890,france_champion_yes,1782853216108,0.2852,0.2852,0.29437,0.29437,-21648.0,0.0,-6150.03664,0.0,0.0,0.009170000000000011,0.009170000000000011,True
2026-06-30T21:00:16.566710+00:00,#1891,france_champion_no,1782853216108,0.70563,0.70563,0.7148,0.7148,0.0,-21648.0,0.0,-15497.963359999998,0.0,0.009170000000000011,0.009170000000000011,True
2026-06-30T21:00:16.566830+00:00,#2130,sweden_champion_yes,1782853216108,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:16.566913+00:00,#2131,sweden_champion_no,1782853216108,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:16.566996+00:00,#6740,France,1782853216108,0.88165,0.88165,0.88333,0.88333,-7475.0,0.0,-6558.75925,0.0,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:16.567105+00:00,#6741,Sweden,1782853216108,0.11667,0.11667,0.11835,0.11835,0.0,-7475.0,0.0,-916.2407499999999,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:17.153653+00:00,#1890,france_champion_yes,1782853216613,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:17.153856+00:00,#1891,france_champion_no,1782853216613,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:17.153955+00:00,#2130,sweden_champion_yes,1782853216613,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:17.154040+00:00,#2131,sweden_champion_no,1782853216613,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:17.154122+00:00,#6740,France,1782853216613,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:17.154199+00:00,#6741,Sweden,1782853216613,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:17.673762+00:00,#1890,france_champion_yes,1782853217152,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:17.674002+00:00,#1891,france_champion_no,1782853217152,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:17.674116+00:00,#2130,sweden_champion_yes,1782853217152,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:17.674213+00:00,#2131,sweden_champion_no,1782853217152,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:17.674309+00:00,#6740,France,1782853217152,0.88165,0.88165,0.88333,0.88333,-275.0,0.0,-240.91049999999996,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:17.674424+00:00,#6741,Sweden,1782853217152,0.11667,0.11667,0.11835,0.11835,0.0,-275.0,0.0,-34.08949999999999,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:18.187083+00:00,#1890,france_champion_yes,1782853217722,0.2852,0.2852,0.29437,0.29437,0.0,-50.0,0.0,-15.16800000000012,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:18.187290+00:00,#1891,france_champion_no,1782853217722,0.70563,0.70563,0.7148,0.7148,-50.0,0.0,-34.832000000000335,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:18.187380+00:00,#2130,sweden_champion_yes,1782853217722,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:18.187471+00:00,#2131,sweden_champion_no,1782853217722,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:18.187545+00:00,#6740,France,1782853217722,0.88165,0.88165,0.88333,0.88333,7475.0,0.0,6556.6934999999985,0.0,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:18.187641+00:00,#6741,Sweden,1782853217722,0.11667,0.11667,0.11835,0.11835,0.0,7475.0,0.0,918.3064999999999,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:19.559643+00:00,#1890,france_champion_yes,1782853218256,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:19.559808+00:00,#1891,france_champion_no,1782853218256,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:19.559927+00:00,#2130,sweden_champion_yes,1782853218256,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:19.560015+00:00,#2131,sweden_champion_no,1782853218256,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:19.560109+00:00,#6740,France,1782853218256,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:19.560196+00:00,#6741,Sweden,1782853218256,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:19.560278+00:00,#1890,france_champion_yes,1782853218761,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:19.560361+00:00,#1891,france_champion_no,1782853218761,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:19.560450+00:00,#2130,sweden_champion_yes,1782853218761,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:19.560529+00:00,#2131,sweden_champion_no,1782853218761,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:19.560608+00:00,#6740,France,1782853218761,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:19.560692+00:00,#6741,Sweden,1782853218761,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:19.884451+00:00,#1890,france_champion_yes,1782853219313,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
